,frameType,packetNumber,OBCUpTime,obcT1,TXcurrent,RXcurrent,TempBatt,IMTQ_temp,tempP1,UTCTime
93,1.0,1254.0,1332.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509890557.0
94,1.0,15073.0,15986.0,24.178759999999997,376.0,63.0,22.0,24.0,22.2421875,1509947802.0
95,1.0,6297.0,6669.0,24.568669999999997,0.0,62.0,22.0,24.5,22.4921875,1510224869.0
96,1.0,14319.0,15182.0,24.178759999999997,0.0,63.0,22.0,24.0,21.4921875,1510291239.0
97,1.0,14321.0,15184.0,24.178759999999997,377.0,63.0,22.0,24.0,21.4921875,1510291242.0
98,1.0,14322.0,15185.0,24.178759999999997,378.0,63.0,22.0,24.0,21.4921875,1510291245.0
99,1.0,1015.0,1075.0,23.398939999999996,0.0,62.0,21.0,23.0,21.4921875,1509618957.0
100,1.0,14324.0,15187.0,23.788849999999996,0.0,63.0,22.0,24.0,21.7421875,1510291259.0
101,1.0,14387.0,15254.0,24.178759999999997,0.0,63.0,22.0,24.0,21.7421875,1510291520.0
102,1.0,1045.0,1106.0,23.398939999999996,0.0,62.0,21.0,23.0,21.4921875,1509619081.0
103,1.0,13760.0,14589.0,23.788849999999996,0.0,63.0,22.0,24.0,21.4921875,1510288922.0
104,1.0,14326.0,15189.0,23.788849999999996,376.0,63.0,22.0,24.0,21.2421875,1510291262.0
105,1.0,2902.0,3074.0,23.788849999999996,375.0,62.0,22.0,24.0,21.7421875,1488698399.0
106,1.0,14377.0,15243.0,24.178759999999997,377.0,63.0,22.0,24.0,21.4921875,1510291473.0
107,1.0,370.0,392.0,23.009029999999996,0.0,61.0,20.0,22.5,21.4921875,1577696794.0
108,1.0,1209.0,1284.0,22.619119999999995,0.0,61.0,20.0,22.5,20.9921875,1509890371.0
109,1.0,14379.0,15245.0,24.178759999999997,0.0,63.0,22.0,24.0,21.4921875,1510291487.0
110,1.0,1390.0,1476.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509891119.0
111,1.0,1224.0,1300.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509890433.0
